FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Wilfried,Bony,FWD,SWA,5700000,1,33,1.26923076923077,2.22672064777328e-07,5.78947368421053e-06,0,86622,2,8,0,0,0,2,0,5.8,1757,-3,0,33,3,0.2,0,1.0,3,0,2,0,1,0.1,87570,0,0,0,0,701,72,0,0,103,Burnley,Brighton,West Ham,Huddersfield,Southampton,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.9,0.6,0.6,0.7,1.0,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0.0,0.0,0.0,0,152758,0,0,0,0,0,0,0,0.0,1054,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,1.2,7265,0,0,0,0,0,685,0,0,0,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Boufal,MID,SOU,5700000,5,51,1.96153846153846,3.4412955465587e-07,8.94736842105263e-06,0,21520,1,24,0,0,0,2,0,8.9,494,-3,0,51,3,0.4,0,2.0,2,0,1,0,2,0.2,16936,0,0,0,0,1121,401,0,0,208,Liverpool,Burnley,Stoke,Newcastle,Swansea,1.0,1.2,1.4,1.4,1.3,1.2,1.0,1.2,1.2,1.5,1.5,1.0,97.3
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,181823,0,0,0,0,0,0,0,0.0,2884,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,2.8,82638,0,0,0,0,0,5517,0,0,0,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie,Brady,MID,BUR,5300000,0,56,2.15384615384615,4.06386066763425e-07,1.05660377358491e-05,0,211342,3,12,0,0,0,1,0,10.6,521,-2,0,56,2,0.0,0,0.0,7,0,6,0,4,0.4,198912,0,0,0,1,1277,17,0,0,216,Swansea,Southampton,Everton,West Ham,Chelsea,0.0,0.0,0.0,0.0,0.0,1.4,1.3,1.7,1.3,1.7,1.1,1.8,97.3
Claudio,Bravo,GLK,MCI,4600000,0,1,0.0384615384615385,8.361204013377931e-09,2.1739130434782601e-07,0,39044,0,0,0,0,0,0,0,0.2,286,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.4,8328,0,0,0,0,44,127,0,0,4,Leicester,Arsenal,Chelsea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Miguel,Britos,DEF,WAT,4300000,0,20,0.7692307692307689,1.78890876565295e-07,4.65116279069767e-06,0,144701,3,12,0,0,0,1,0,4.7,530,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.5,115144,0,0,0,0,704,11,0,1,129,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.7,0.4,0.4,0.4,24.4
Leon,Britton,MID,SWA,4400000,0,9,0.34615384615384603,7.86713286713287e-08,2.04545454545455e-06,0,8591,1,1,0,0,0,0,0,2.0,104,-1,0,9,1,0.0,0,0.0,0,0,3,0,0,0.1,4072,0,0,0,0,269,23,0,0,25,Burnley,Brighton,West Ham,Huddersfield,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,0.615384615384615,1.18343195266272e-07,3.07692307692308e-06,0,3862,0,8,0,0,0,0,0,3.1,37,-3,0,16,3,0.0,0,0.0,0,0,0,0,0,0.0,642,0,0,0,0,302,13,0,0,60,Stoke,Swansea,Arsenal,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.5
,Bruno,DEF,BHA,4500000,0,65,3.3,7.33333333333333e-07,1.44444444444444e-05,0,84325,3,19,0,0,0,0,0,14.4,8203,0,0,65,0,0.1,0,0.3,5,0,8,0,0,1.3,135124,0,0,0,0,1635,996,0,0,336,Stoke,Swansea,Arsenal,Everton,Man City,3.0,3.5,4.6,2.1,2.4,3.6,4.3,3.8,3.8,3.1,3.9,2.9,44.7
Chris,Brunt,MID,WBA,5000000,9,49,1.88461538461538,3.7692307692307703e-07,9.800000000000001e-06,0,133829,2,9,0,0,0,0,0,9.8,441,-5,0,49,5,0.9,0,4.3,5,0,6,0,5,0.5,122066,0,0,0,0,948,1636,0,0,227,Chelsea,Huddersfield,Watford,Leicester,Bournemouth,0.9,1.9,0.9,1.5,1.1,1.4,1.5,0.9,1.1,1.1,1.2,0.9,77.0
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,617,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,94,0,0,0,0,0,1,0,0,0,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver,Burke,MID,WBA,4900000,1,13,0.5,1.0204081632653099e-07,2.6530612244897998e-06,0,3555,0,6,0,0,0,0,0,2.7,38,-6,0,13,6,0.1,0,0.3,0,0,0,0,1,0.0,3680,0,0,0,0,187,18,0,0,36,Chelsea,Huddersfield,Watford,Leicester,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,13.1
Reece,Burke,DEF,WHU,4000000,0,0,0.0,0.0,0.0,0,1331,0,0,0,0,0,0,0,0.0,382,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2833,0,0,0,0,0,23,0,0,0,Watford,Liverpool,Swansea,Burnley,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt,Butcher,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,99,0,0,0,0,0,0,0,0.0,18,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,132,0,0,0,0,0,10,0,0,0,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Butland,GLK,STK,5000000,2,73,3.2,6.4e-07,1.4599999999999999e-05,0,148234,0,45,0,83,0,0,0,14.6,1843,0,0,73,0,1.1,0,5.3,6,0,4,0,0,2.3,112038,0,0,0,1,2070,3634,0,0,429,Brighton,Leicester,Southampton,Man City,Everton,4.2,2.4,3.2,3.1,3.2,2.7,3.6,3.2,3.7,2.9,4.7,2.6,58.8
Sam,Byram,DEF,WHU,4200000,1,3,0.115384615384615,2.74725274725275e-08,7.142857142857141e-07,0,9451,1,4,0,0,0,0,0,0.7,153,-3,0,3,3,0.2,0,0.8,0,0,0,0,0,0.1,2883,0,0,0,0,170,386,0,0,30,Watford,Liverpool,Swansea,Burnley,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.4
Willy,Caballero,GLK,CHE,4800000,0,7,0.269230769230769,5.60897435897436e-08,1.4583333333333299e-06,0,10198,0,0,0,3,0,0,0,1.5,1083,-2,0,7,2,0.4,0,1.8,0,0,1,0,0,0.1,8780,0,0,0,0,90,93,0,0,29,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.5
Yohan,Cabaye,MID,CRY,5300000,2,51,2.3,4.33962264150943e-07,9.62264150943396e-06,0,32783,4,27,0,0,0,0,0,9.6,345,-2,0,51,2,0.2,0,1.3,3,0,4,0,3,0.2,18220,0,0,0,0,1651,251,0,0,304,Everton,Tottenham,Man Utd,Chelsea,Huddersfield,1.7,1.7,1.6,1.3,1.5,1.5,1.6,2.0,1.4,2.0,1.3,2.3,125.2
Gary,Cahill,DEF,CHE,6200000,0,54,2.8,4.5161290322580607e-07,8.709677419354841e-06,0,596303,0,19,0,0,0,0,0,8.7,2575,-3,0,54,3,0.1,0,0.5,2,0,7,0,0,2.6,83000,0,0,0,0,1436,1832,0,1,315,West Brom,Man Utd,Man City,Crystal Palace,Burnley,2.9,2.0,2.1,4.0,2.7,2.8,3.4,2.8,3.3,2.2,3.0,2.2,45.2
Dominic,Calvert-Lewin,FWD,EVE,5200000,5,74,3.0,5.76923076923077e-07,1.4230769230769198e-05,0,984751,3,22,0,0,0,4,0,14.2,32308,2,0,74,-2,0.3,0,1.8,3,0,6,0,6,5.4,1209002,0,0,0,1,1585,23514,0,0,214,Crystal Palace,Watford,Burnley,Brighton,Stoke,3.5,2.6,2.3,3.7,2.8,3.0,2.9,2.3,3.3,2.3,3.4,2.3,107.3
Geoff,Cameron,DEF,STK,4300000,1,24,0.923076923076923,2.1466905187835398e-07,5.58139534883721e-06,0,40079,1,26,0,0,0,0,0,5.6,394,-2,0,24,2,0.1,0,0.5,0,0,1,0,0,0.3,29579,0,0,0,0,1227,515,0,0,181,Brighton,Leicester,Southampton,Man City,Everton,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,31.4
Emre,Can,MID,LIV,4800000,1,71,3.4,7.08333333333333e-07,1.47916666666667e-05,0,519189,7,26,0,0,0,2,0,14.8,13618,-2,0,71,2,1.0,0,4.8,7,0,6,0,5,4.8,395858,0,0,0,1,1703,24652,0,0,409,Southampton,West Ham,Newcastle,Man Utd,Watford,2.9,3.9,3.6,1.8,3.1,2.5,3.2,3.7,2.8,3.6,2.5,3.6,98.6
Etienne,Capoue,MID,WAT,4800000,2,25,0.961538461538462,2.0032051282051302e-07,5.20833333333333e-06,0,295845,1,11,0,0,0,1,0,5.2,871,-7,0,25,7,0.3,0,1.3,0,0,1,0,1,1.2,39851,0,0,0,0,547,349,0,0,111,West Ham,Everton,West Brom,Arsenal,Liverpool,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32.0
Michael,Carrick,MID,MUN,4200000,0,0,0.0,0.0,0.0,0,108209,0,0,0,0,0,0,0,0.0,1724,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.9,80835,0,0,0,0,0,2510,0,0,0,Newcastle,Chelsea,Crystal Palace,Liverpool,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre,Carrillo,MID,WAT,5500000,1,59,2.5,4.54545454545455e-07,1.0727272727272698e-05,0,10004,1,31,0,0,0,1,0,10.7,854,0,0,59,0,0.3,0,1.5,4,0,3,0,3,0.1,12574,0,0,0,0,1425,151,0,0,257,West Ham,Everton,West Brom,Arsenal,Liverpool,1.9,2.7,2.4,1.4,1.3,2.2,1.9,1.9,2.0,1.4,2.1,1.2,80.1
Guido,Carrillo,FWD,SOU,6500000,2,3,0.115384615384615,1.7751479289940802e-08,4.615384615384621e-07,0,4884,0,2,0,0,0,0,0,0.5,1884,0,0,3,0,0.2,0,1.5,0,0,0,0,0,0.1,11456,0,0,0,0,119,1506,0,0,3,Liverpool,Burnley,Stoke,Newcastle,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Andy,Carroll,FWD,WHU,5700000,0,25,2.1,3.6842105263157896e-07,4.3859649122807e-06,0,100897,5,12,0,0,0,2,0,4.4,1909,-3,1,25,3,0.0,0,0.0,3,0,3,0,1,0.3,103178,0,0,0,1,695,75,-1,1,71,Watford,Liverpool,Swansea,Burnley,Man Utd,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.3,1.0,1.7,1.4,2.1,49.8
Tom,Carroll,MID,SWA,4300000,1,59,2.4,5.58139534883721e-07,1.37209302325581e-05,0,557949,3,28,0,0,0,0,0,13.7,18569,-2,0,59,2,0.3,0,1.3,3,0,6,0,3,5.1,532987,0,0,0,0,1867,16542,0,0,301,Burnley,Brighton,West Ham,Huddersfield,Southampton,1.9,1.4,2.2,1.7,1.8,1.2,1.7,2.6,1.2,1.7,1.8,2.0,92.3
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,692,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,372,0,0,0,0,0,1,0,0,0,Arsenal,Crystal Palace,Huddersfield,Bournemouth,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.0384615384615385,8.74125874125874e-09,2.2727272727272702e-07,0,1102,0,0,0,0,0,0,0,0.2,15,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,301,0,0,0,0,19,20,0,0,4,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,2330,0,0,0,0,0,0,0,0.0,86,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,899,0,0,0,0,0,68,0,0,0,Tottenham,Man City,Brighton,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5400000,2,90,3.5,6.48148148148148e-07,1.6666666666666698e-05,0,248065,1,35,0,58,0,0,0,16.7,19605,-1,0,90,1,0.4,0,2.0,4,0,9,0,0,4.5,133556,0,0,0,0,2319,173,0,0,453,Tottenham,Man City,Brighton,Watford,Leicester,0.0,3.8,3.0,4.7,2.3,4.7,4.5,2.5,5.0,2.3,4.5,2.6,46.9
,Cedric,DEF,SOU,4700000,1,45,2.3,4.8936170212766e-07,9.57446808510638e-06,0,699708,1,26,0,0,0,0,0,9.6,2814,-3,0,45,3,0.3,0,1.3,0,0,4,0,0,2.5,243673,0,0,0,0,1714,863,0,0,277,Liverpool,Burnley,Stoke,Newcastle,Swansea,2.2,2.0,2.3,1.7,1.7,2.1,1.7,2.0,1.5,1.7,1.3,1.7,67.8
Nacer,Chadli,MID,WBA,5600000,0,13,0.5,8.928571428571429e-08,2.32142857142857e-06,0,39390,1,2,0,0,0,1,0,2.3,71,-4,0,13,4,0.0,0,0.0,3,0,1,0,0,0.2,9653,0,0,0,1,174,8,0,0,30,Chelsea,Huddersfield,Watford,Leicester,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.1
Nathaniel,Chalobah,MID,WAT,4200000,0,12,0.46153846153846206,1.0989010989011e-07,2.8571428571428602e-06,0,201683,1,7,0,0,0,0,0,2.9,1238,-3,0,12,3,0.0,0,0.0,0,0,3,0,0,0.7,128350,0,0,0,0,429,715,0,0,37,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.6
,Chamberlain,MID,LIV,5700000,1,68,2.6153846153846203,4.58839406207827e-07,1.19298245614035e-05,0,351715,1,23,0,0,0,3,0,11.9,43319,-3,0,68,3,0.7,0,4.0,4,0,3,0,3,3.1,325770,0,0,0,0,1249,6578,0,0,315,Southampton,West Ham,Newcastle,Man Utd,Watford,1.9,2.6,2.4,1.3,2.1,1.7,2.2,2.5,1.9,2.4,1.6,2.4,125.9
Calum,Chambers,DEF,ARS,4700000,0,5,0.19230769230769199,4.09165302782324e-08,1.0638297872340401e-06,0,24350,1,6,0,0,0,0,0,1.1,625,-3,0,5,3,0.1,0,0.5,0,0,0,0,0,0.2,9107,0,0,0,0,340,223,0,0,56,Tottenham,Man City,Brighton,Watford,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14.0
,Chicharito,FWD,WHU,6700000,8,72,3.6,5.37313432835821e-07,1.07462686567164e-05,0,1833235,3,27,0,0,0,6,0,10.7,8614,-3,0,72,3,0.8,0,5.3,11,0,5,0,2,7.4,1186772,0,0,0,2,1246,38168,0,0,228,Watford,Liverpool,Swansea,Burnley,Man Utd,4.2,2.7,3.2,3.9,4.0,4.3,2.4,4.9,2.4,3.9,3.3,4.6,90.2
Benjamin,Chilwell,DEF,LEI,4300000,0,35,1.34615384615385,3.13059033989267e-07,8.139534883720931e-06,0,55803,0,15,0,0,0,0,0,8.1,10920,-2,0,35,2,0.6,0,2.5,0,0,4,0,0,1.3,99847,0,0,0,0,1087,2531,0,1,198,Man City,Stoke,Bournemouth,West Brom,Arsenal,0.7,1.1,0.8,0.7,1.3,0.8,0.8,0.8,1.0,1.2,1.2,0.7,34.8
Hamza,Choudhury,MID,LEI,4400000,0,1,0.0384615384615385,8.74125874125874e-09,2.2727272727272702e-07,0,254,0,0,0,0,0,0,0,0.2,25,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,343,0,0,0,0,7,45,0,0,2,Man City,Stoke,Bournemouth,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Eric Maxim,Choupo-Moting,MID,STK,5400000,1,92,3.7,6.85185185185185e-07,1.7037037037037e-05,0,644797,3,41,0,0,0,4,0,17.0,25930,-1,0,92,1,0.6,0,3.0,9,0,4,0,5,4.0,806581,0,0,0,2,1937,11056,0,0,285,Brighton,Leicester,Southampton,Man City,Everton,4.1,3.0,3.2,2.7,5.0,2.5,3.5,3.2,3.8,2.3,4.0,3.3,149.7
Andreas,Christensen,DEF,CHE,5300000,0,62,2.3846153846153797,4.49927431059507e-07,1.1698113207547199e-05,0,424704,0,10,0,0,0,0,0,11.5,35503,-2,1,62,2,0.2,0,0.8,3,0,7,0,0,1.5,474447,0,0,0,0,1364,542,-1,0,332,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,0.0,1.6,3.4,2.1,2.2,2.7,2.2,2.6,1.7,2.3,1.7,40.3
Ciaran,Clark,DEF,NEW,4400000,2,64,3.2,7.27272727272727e-07,1.45454545454545e-05,0,233927,3,30,0,0,0,2,0,14.5,16642,-1,0,64,1,0.5,0,2.3,6,0,4,0,1,2.2,288121,0,0,0,1,1745,2420,0,0,317,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,0.0,2.6,3.1,3.5,2.8,3.9,2.6,4.1,2.3,3.5,3.6,3.4,67.5
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,18678,0,0,0,0,0,0,0,0.0,52,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,4021,0,0,0,0,0,5,0,0,0,Liverpool,Burnley,Stoke,Newcastle,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,0,58,2.5,5e-07,1.1599999999999999e-05,0,98487,1,33,0,0,0,1,0,11.6,1655,0,0,58,0,0.2,1,1.0,3,0,6,0,2,0.5,102359,0,0,0,1,1900,30,0,1,300,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,2.7,2.4,1.4,1.3,2.2,1.9,1.9,2.0,1.4,2.1,1.2,92.1
Sam,Clucas,MID,SWA,4700000,2,53,2.8,5.95744680851064e-07,1.12765957446809e-05,0,14651,1,19,0,0,0,3,0,11.3,6421,-3,0,53,3,1.2,0,5.5,3,0,3,0,0,0.7,52334,0,0,0,1,1308,10785,0,0,216,Burnley,Brighton,West Ham,Huddersfield,Southampton,2.4,1.8,2.8,2.2,2.4,1.4,2.2,3.3,1.4,2.2,2.3,2.6,48.1
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,27767,0,0,0,0,0,0,0,0.0,82,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1385,0,0,0,0,0,33,0,0,0,Southampton,West Ham,Newcastle,Man Utd,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4200000,0,0,0.0,0.0,0.0,0,109605,0,0,0,0,0,0,0,0.0,3170,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,1.1,113203,0,0,0,0,0,102,0,0,0,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,3900000,0,0,0.0,0.0,0.0,0,63670,0,0,0,0,0,0,0,0.0,4162,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,3.8,160631,0,0,0,0,0,36241,0,0,0,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6400000,0,2,0.0769230769230769,1.2019230769230801e-08,3.125e-07,0,9682,0,1,0,0,0,0,0,0.3,498,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.3,6627,0,0,0,0,90,2427,0,0,19,Crystal Palace,Watford,Burnley,Brighton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
James,Collins,DEF,WHU,4300000,1,26,1.0,2.3255813953488398e-07,6.04651162790698e-06,0,22775,2,12,0,0,0,1,0,6.0,702,-2,0,26,2,0.3,0,1.5,0,0,2,0,0,0.3,21218,0,0,0,0,777,825,0,0,141,Watford,Liverpool,Swansea,Burnley,Man Utd,0.7,0.5,0.5,0.6,0.6,0.6,0.5,0.7,0.5,0.5,0.5,0.5,34.2
Francis,Coquelin,MID,ARS,4300000,0,7,1.0,2.3255813953488398e-07,1.62790697674419e-06,0,40269,0,6,0,0,0,0,0,1.6,407,-2,0,7,2,0.0,0,0.0,0,0,0,0,0,0.5,15765,0,0,0,0,164,13,0,0,35,Tottenham,Man City,Brighton,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
Jack,Cork,MID,BUR,4600000,1,67,2.6,5.65217391304348e-07,1.4565217391304299e-05,0,328636,6,23,0,0,0,1,0,14.6,10381,1,0,67,-1,0.4,0,1.8,3,0,10,0,1,2.9,424408,0,0,0,0,2340,5308,0,0,360,Swansea,Southampton,Everton,West Ham,Chelsea,2.1,2.1,2.9,1.9,1.9,2.0,1.8,2.3,1.8,2.3,1.5,2.4,83.7
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,66178,0,0,0,0,0,0,0,0.0,62,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.3,2410,0,0,0,0,0,3,0,0,0,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5500000,1,101,4.0,7.27272727272727e-07,1.8363636363636398e-05,0,746696,1,23,0,52,0,0,0,18.4,22497,0,0,101,0,0.4,0,2.0,2,0,12,0,0,11.6,468914,0,0,0,0,2250,8233,0,0,456,West Brom,Man Utd,Man City,Crystal Palace,Burnley,4.9,3.6,3.7,5.7,4.5,4.7,5.5,4.7,5.3,3.9,5.0,3.9,36.3
Philippe,Coutinho,MID,LIV,9100000,0,103,7.4,8.131868131868129e-07,1.13186813186813e-05,0,1717984,0,14,0,0,0,7,0,11.3,5333,1,0,103,-1,0.0,0,0.0,15,0,5,0,7,3.7,1531081,0,0,0,4,1109,8,0,0,381,Southampton,West Ham,Newcastle,Man Utd,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.4
Martin,Cranie,DEF,HUD,4000000,0,2,0.7,1.75e-07,5e-07,0,23197,0,7,0,0,0,0,0,0.5,710,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.2,24077,0,0,0,0,179,82,0,0,35,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Aaron,Cresswell,DEF,WHU,5100000,0,73,3.0,5.882352941176471e-07,1.43137254901961e-05,0,226994,4,38,0,0,0,0,0,14.3,15942,1,0,73,-1,0.3,0,1.3,8,0,6,0,4,3.4,373336,0,0,0,0,2019,4468,0,0,385,Watford,Liverpool,Swansea,Burnley,Man Utd,3.6,2.6,2.3,3.4,3.3,3.4,2.6,3.6,2.4,2.8,2.1,2.9,96.3
Peter,Crouch,FWD,STK,4900000,2,51,2.4,4.89795918367347e-07,1.04081632653061e-05,0,328042,1,20,0,0,0,3,0,10.4,16808,-1,0,51,1,0.3,0,1.5,4,0,0,0,2,3.0,344849,0,0,0,0,1037,5406,0,0,159,Brighton,Leicester,Southampton,Man City,Everton,0.0,1.8,2.0,2.1,2.5,1.2,2.1,1.7,2.1,1.4,2.5,1.7,73.8
Josh,Cullen,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,186,0,0,0,0,0,0,0,0.0,57,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,449,0,0,0,0,0,105,0,0,0,Watford,Liverpool,Swansea,Burnley,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Daniels,DEF,BOU,4700000,2,70,3.0,6.382978723404259e-07,1.48936170212766e-05,0,1032020,0,28,0,0,0,1,0,14.9,10143,-3,0,70,3,0.6,0,3.0,4,0,5,0,1,6.8,516109,0,0,0,0,2007,34060,0,0,397,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,2.6,2.7,2.3,3.1,3.3,3.2,4.3,2.7,3.2,3.1,2.9,3.0,86.4
,Danilo,DEF,MCI,5000000,10,64,4.6,9.2e-07,1.28e-05,0,383289,1,7,0,0,0,2,0,12.8,3875,-5,0,64,5,0.5,0,2.5,5,0,6,0,1,2.8,282386,0,0,0,1,830,28094,0,0,257,Leicester,Arsenal,Chelsea,Stoke,Brighton,5.4,4.9,5.7,5.3,6.6,4.0,5.8,4.8,5.3,5.6,6.4,5.7,48.3
Scott,Dann,DEF,CRY,4600000,0,32,1.9,4.1304347826086996e-07,6.95652173913044e-06,0,86356,4,26,0,0,0,1,0,7.0,637,-4,0,32,4,0.0,0,0.0,0,0,1,0,0,0.3,39380,0,0,0,0,1434,14,0,0,211,Everton,Tottenham,Man Utd,Chelsea,Huddersfield,0.0,0.0,0.0,0.0,0.0,1.7,1.0,2.0,1.5,1.5,1.3,1.7,67.0
