FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Gerard,Deulofeu,MID,EVE,5900000,0,13,1.2,2.03389830508475e-07,2.20338983050847e-06,0,131488,1,6,0,0,0,0,0,2.2,351,-6,0,13,6,0.0,0,0.0,0,0,0,0,0,0.9,18975,0,283,0,0,460,12,0,0,53,Bournemouth,Middlesbrough,Sunderland,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed,Diame,MID,HUL,5500000,0,0,0.0,0.0,0.0,0,731,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,164,0,0,0,0,0,8,0,0,0,Liverpool,Arsenal,Burnley,Leicester,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Dier,MID,TOT,5000000,3,45,2.1,4.2e-07,9e-06,0,390570,3,14,0,0,0,0,0,9.0,1337,-5,0,45,5,0.5,0,2.3,0,0,9,0,0,4.5,33646,0,526,0,0,1711,779,0,0,254,Middlesbrough,Liverpool,Stoke,Everton,Crystal Palace,1.9,1.0,1.7,1.9,1.1,1.9,1.0,1.1,2.2,1.8,1.2,1.2,1.0,1.7,1.5
Adama,Diomande,FWD,HUL,4500000,0,39,2.1,4.66666666666667e-07,8.66666666666667e-06,0,435673,1,25,0,0,0,2,0,8.7,10248,0,0,39,0,0.2,0,1.0,2,0,2,0,0,5.0,513757,0,0,0,0,1136,2338,0,0,124,Liverpool,Arsenal,Burnley,Leicester,Swansea,2.1,1.4,2.5,1.5,2.2,1.1,2.0,1.8,1.6,1.5,1.9,1.4,2.5,1.6,1.9
Mame Biram,Diouf,FWD,STK,5700000,0,28,1.9,3.3333333333333304e-07,4.91228070175439e-06,0,33910,3,21,0,0,0,0,0,4.9,207,-3,0,28,3,0.0,0,0.0,0,0,3,0,2,0.3,17050,0,245,0,0,893,80,0,0,115,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,1.2,1.4,1.0,1.5,1.4,1.2,1.4,1.0,1.7,2.1,1.8,1.6,1.2,1.4,1.3
Brice,Dja Djedje,DEF,WAT,4400000,0,0,0.0,0.0,0.0,0,1150,0,0,0,0,0,0,0,0.0,3,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,99,0,0,0,0,0,1,0,0,0,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papy,Djilobodji,DEF,SUN,4300000,0,24,1.3,3.0232558139534897e-07,5.58139534883721e-06,0,14657,4,35,0,0,0,0,0,5.6,1086,-2,0,24,2,0.1,0,0.3,0,0,2,0,0,0.2,11869,0,0,0,0,1577,13,0,1,281,Crystal Palace,Southampton,Everton,Man City,Middlesbrough,0.0,0.0,0.0,0.9,0.6,1.2,0.6,0.6,0.7,1.3,0.9,1.2,0.6,0.9,0.6
Abdoulaye,Doucoure,MID,WAT,4600000,1,10,0.144927536231884,3.15059861373661e-08,2.17391304347826e-06,0,947,1,9,0,0,0,0,0,2.2,14,-4,0,10,4,0.4,0,2.0,0,0,1,0,0,0.0,304,0,0,0,0,392,11,0,0,54,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Stewart,Downing,MID,MID,4900000,0,46,0.666666666666667,1.36054421768707e-07,9.38775510204082e-06,0,51909,1,14,0,0,0,1,0,9.4,446,-6,0,46,6,0.0,0,0.0,3,0,4,0,2,0.4,17956,0,0,0,0,1104,56,0,0,205,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3
Luke,Dreher,MID,CRY,4400000,0,0,0.0,0.0,0.0,0,155,0,0,0,0,0,0,0,0.0,4,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,181,0,0,0,0,0,4,0,0,0,Sunderland,Stoke,Middlesbrough,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,Drinkwater,MID,LEI,5300000,2,40,2.4,4.52830188679245e-07,7.54716981132075e-06,0,313968,2,29,0,0,0,0,0,7.5,780,-2,0,40,2,0.4,0,2.0,2,0,4,0,1,3.8,69923,0,592,0,0,1473,97,0,0,245,Man Utd,Swansea,Liverpool,Hull City,Arsenal,2.1,1.4,1.5,2.9,1.2,1.2,2.1,3.1,1.2,1.4,2.0,1.2,2.7,1.2,2.3
Nathan,Dyer,MID,SWA,4700000,0,10,0.144927536231884,3.08356460067838e-08,2.12765957446809e-06,0,7346,0,10,0,0,0,0,0,2.1,54,-3,0,10,3,0.1,0,0.3,0,0,0,0,1,0.1,1713,0,64,0,0,192,19,0,0,38,Man City,Leicester,Chelsea,Burnley,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Thomas,Edwards,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,13,0,0,0,0,0,0,0,0.0,13,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,64,0,0,0,0,0,64,0,0,0,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oviemuno,Ejaria,MID,LIV,4400000,0,2,0.0289855072463768,6.58761528326746e-09,4.54545454545455e-07,0,208,0,0,0,0,0,0,0,0.5,6,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,225,0,0,0,0,8,3,0,0,6,Hull City,Tottenham,Leicester,Arsenal,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omar,Elabdellaoui,DEF,HUL,4500000,1,2,0.0289855072463768,6.44122383252818e-09,4.44444444444444e-07,0,27,0,2,0,0,0,0,0,0.4,12,0,0,2,0,0.2,0,1.0,0,0,0,0,0,0.0,213,0,0,0,0,109,60,0,0,18,Liverpool,Arsenal,Burnley,Leicester,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew,Eleftheriou,DEF,WAT,4000000,0,0,0.0,0.0,0.0,0,489,0,0,0,0,0,0,0,0.0,23,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,906,0,0,0,0,0,31,0,0,0,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed,Elmohamady,MID,HUL,4700000,0,37,1.9,4.0425531914893603e-07,7.872340425531911e-06,0,21616,2,42,0,0,0,0,0,7.9,81,-3,0,37,3,0.0,0,0.0,1,0,1,0,1,0.2,7319,0,0,0,0,1648,7,0,1,279,Liverpool,Arsenal,Burnley,Leicester,Swansea,0.0,1.0,2.1,1.1,1.3,1.0,1.0,1.5,1.0,1.0,1.8,1.0,2.1,1.1,1.2
Mohamed,Elneny,MID,ARS,4600000,0,21,0.304347826086956,6.61625708884688e-08,4.56521739130435e-06,0,31424,1,8,0,0,0,0,0,4.6,80,-4,0,21,4,0.0,0,0.0,0,0,2,0,1,0.4,9529,0,134,0,0,534,19,0,0,114,Chelsea,Hull City,Liverpool,Leicester,West Brom,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Elliot,Embleton,MID,SUN,4400000,0,0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,0,0.0,19,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,111,0,0,0,0,0,24,0,0,0,Crystal Palace,Southampton,Everton,Man City,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin,Emnes,FWD,SWA,4400000,0,0,0.0,0.0,0.0,0,24036,0,0,0,0,0,0,0,0.0,291,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.3,15050,0,4,0,0,0,42,0,0,0,Man City,Leicester,Chelsea,Burnley,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Eriksen,MID,TOT,8800000,3,126,5.7,6.47727272727273e-07,1.43181818181818e-05,0,648254,0,16,0,0,0,5,0,14.3,20596,3,-1,126,-3,0.6,0,5.0,15,0,9,0,11,16.9,906681,0,738,0,3,1935,21599,1,0,469,Middlesbrough,Liverpool,Stoke,Everton,Crystal Palace,7.8,3.5,7.3,7.8,5.7,7.8,5.1,5.8,8.5,7.7,5.8,5.9,4.2,7.4,6.3
,Ethan Robson,MID,SUN,4500000,0,0,0.0,0.0,0.0,0,61,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,81,0,0,0,0,0,11,0,0,0,Crystal Palace,Southampton,Everton,Man City,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Evandro,MID,HUL,5000000,3,6,0.0869565217391304,1.7391304347826103e-08,1.2e-06,0,38,0,2,0,0,0,0,0,1.2,15,0,0,6,0,0.4,0,2.0,0,0,1,0,0,0.0,412,0,0,0,0,176,198,0,0,31,Liverpool,Arsenal,Burnley,Leicester,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny,Evans,DEF,WBA,4400000,0,44,2.6,5.90909090909091e-07,1e-05,0,347115,6,19,0,0,0,1,0,10.0,13063,-1,0,44,1,0.0,0,0.0,3,0,3,0,0,4.6,228764,0,343,0,1,1469,205,0,0,262,Stoke,West Ham,Bournemouth,Crystal Palace,Everton,0.0,2.6,3.2,2.8,1.8,3.2,1.6,1.9,3.5,3.3,2.0,2.5,1.4,2.7,2.1
Lukasz,Fabianski,GLK,SWA,4800000,2,61,2.7,5.625e-07,1.2708333333333301e-05,0,140029,1,52,0,69,0,0,0,12.7,2210,-2,0,61,2,0.4,0,1.7,5,0,3,0,0,3.5,137072,0,366,1,0,2070,186,0,0,379,Man City,Leicester,Chelsea,Burnley,Hull City,2.4,2.4,2.3,3.1,2.6,2.6,2.5,2.9,3.1,2.3,2.8,1.9,2.7,1.9,3.0
,Fabio,DEF,MID,4400000,2,36,0.5217391304347829,1.1857707509881401e-07,8.18181818181818e-06,0,11377,3,11,0,0,0,0,0,8.2,1617,-1,0,36,1,0.7,0,3.0,5,0,4,0,0,0.6,35124,0,0,0,0,885,908,0,0,184,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Cesc,Fabregas,MID,CHE,6900000,1,48,0.695652173913043,1.0081915563957199e-07,6.95652173913044e-06,0,253257,3,6,0,0,0,1,0,7.0,2492,-6,0,48,6,0.3,0,2.0,5,0,2,0,7,1.8,73774,0,617,0,1,527,191,0,0,209,Arsenal,Burnley,Swansea,West Ham,Watford,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
Adam,Federici,GLK,BOU,4400000,0,8,0.11594202898550698,2.6350461133069798e-08,1.81818181818182e-06,0,3250,1,3,0,5,0,0,0,1.8,61,-1,0,8,1,0.0,0,0.0,1,0,1,0,0,0.1,2012,0,31,0,0,180,11,0,0,37,Everton,Man City,West Brom,Man Utd,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sofiane,Feghouli,MID,WHU,5000000,2,21,0.304347826086956,6.08695652173913e-08,4.2000000000000004e-06,0,138096,1,10,0,0,0,1,0,4.2,568,-5,0,21,5,0.9,0,4.3,1,0,1,0,1,0.7,12248,0,0,0,0,416,737,0,1,92,Southampton,West Brom,Watford,Chelsea,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Marouane,Fellaini,MID,MUN,5800000,0,23,1.4,2.41379310344828e-07,3.9655172413793096e-06,0,18158,6,12,0,0,0,0,0,4.0,162,-2,0,23,2,0.1,0,0.7,0,0,4,0,0,0.3,11302,0,164,0,0,853,150,0,0,149,Leicester,Watford,Bournemouth,Southampton,Middlesbrough,0.7,1.0,0.0,0.8,0.7,0.7,0.7,0.8,0.9,0.7,0.7,0.7,0.7,0.7,0.7
Leroy,Fer,MID,SWA,4800000,2,68,3.6,7.5e-07,1.41666666666667e-05,0,625449,5,32,0,0,0,6,0,14.2,6475,-2,0,68,2,0.2,0,1.0,5,0,2,0,1,5.3,696174,0,107,0,2,1336,1518,0,0,280,Man City,Leicester,Chelsea,Burnley,Hull City,2.6,4.5,2.4,4.8,4.1,2.9,3.7,3.2,2.5,3.8,3.4,3.4,3.7,4.0,3.4
Edimilson,Fernandes,MID,WHU,4800000,1,17,0.246376811594203,5.1328502415458897e-08,3.5416666666666703e-06,0,722,2,8,0,0,0,0,0,3.5,22,-2,0,17,2,0.2,0,1.0,0,0,1,0,0,0.0,752,0,0,0,0,467,7,0,0,59,Southampton,West Brom,Watford,Chelsea,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Federico,Fernandez,DEF,SWA,4200000,1,15,1.3,3.0952380952381003e-07,3.5714285714285697e-06,0,65418,4,23,0,0,0,0,0,3.6,428,-3,0,15,3,0.2,0,0.7,0,0,1,0,0,1.1,11848,0,333,0,0,1080,691,0,0,175,Man City,Leicester,Chelsea,Burnley,Hull City,0.7,0.7,0.7,1.0,0.8,0.8,0.8,0.9,1.0,0.7,0.9,0.6,0.8,0.6,1.0
,Fernandinho,MID,MCI,5300000,1,39,2.2,4.15094339622642e-07,7.358490566037739e-06,0,121543,3,17,0,0,0,1,0,7.4,320,-2,0,39,2,0.1,0,0.3,3,0,3,0,1,1.3,70562,0,417,0,0,1495,388,0,2,243,Swansea,Bournemouth,Sunderland,Stoke,Liverpool,1.6,1.2,0.0,1.8,1.6,1.1,1.1,1.1,2.3,1.2,1.6,1.5,1.5,2.3,1.7
,Fernando,MID,MCI,4700000,0,14,0.202898550724638,4.31699044094974e-08,2.97872340425532e-06,0,14659,3,8,0,0,0,0,0,3.0,93,-3,0,14,3,0.0,0,0.0,1,0,1,0,0,0.2,7138,0,236,0,0,532,73,0,0,90,Swansea,Bournemouth,Sunderland,Stoke,Liverpool,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sam,Field,MID,WBA,4400000,0,5,0.072463768115942,1.6469038208168603e-08,1.13636363636364e-06,0,594,1,1,0,0,0,0,0,1.1,3,-1,0,5,1,0.1,0,0.3,0,0,1,0,0,0.0,607,0,0,0,0,166,4,0,0,30,Stoke,West Ham,Bournemouth,Crystal Palace,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto,Firmino,MID,LIV,8400000,2,114,5.2,6.19047619047619e-07,1.35714285714286e-05,0,995399,3,27,0,0,0,8,0,13.6,17982,-1,0,114,1,0.7,0,5.7,12,0,6,0,5,11.5,1041022,0,522,0,5,1952,30093,0,0,388,Hull City,Tottenham,Leicester,Arsenal,Burnley,6.3,5.9,5.6,4.8,7.8,4.3,6.6,6.5,5.1,4.5,5.8,6.0,6.6,4.1,6.6
Viktor,Fischer,MID,MID,4900000,0,21,0.304347826086956,6.211180124223599e-08,4.28571428571429e-06,0,43582,0,6,0,0,0,0,0,4.3,54,-6,0,21,6,0.0,0,0.0,0,0,1,0,2,0.2,2123,0,0,0,0,407,5,0,0,74,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mathieu,Flamini,MID,CRY,4300000,1,9,0.130434782608696,3.03336703741153e-08,2.09302325581395e-06,0,4283,0,4,0,0,0,0,0,2.1,199,-2,0,9,2,0.1,0,0.3,0,0,0,0,0,0.1,5902,0,0,0,0,238,71,0,0,36,Sunderland,Stoke,Middlesbrough,West Brom,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jon,Flanagan,DEF,BUR,4300000,0,8,0.11594202898550698,2.6963262554769098e-08,1.86046511627907e-06,0,17722,2,4,0,0,0,0,0,1.9,211,-2,0,8,2,0.0,0,0.0,0,0,1,0,0,0.2,4587,0,67,0,0,315,45,0,0,51,Watford,Chelsea,Hull City,Swansea,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ashley,Fletcher,FWD,WHU,5000000,1,13,0.18840579710144897,3.7681159420289906e-08,2.6e-06,0,11323,2,10,0,0,0,0,0,2.6,222,0,0,13,0,0.1,0,0.7,0,0,0,0,0,0.2,12778,0,0,0,0,322,160,0,0,24,Southampton,West Brom,Watford,Chelsea,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Darren,Fletcher,MID,WBA,4500000,5,69,3.0,6.66666666666667e-07,1.53333333333333e-05,0,471703,0,25,0,0,0,2,0,15.3,6561,0,0,69,0,1.3,0,5.7,2,0,6,0,2,9.9,349430,0,403,0,1,1984,17223,0,0,293,Stoke,West Ham,Bournemouth,Crystal Palace,Everton,2.8,1.6,3.0,2.6,2.0,2.0,2.3,2.6,3.1,2.0,1.7,3.8,2.0,2.4,2.3
Michael,Folivi,FWD,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,235,0,0,0,0,0,0,0,0.2,45,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,420,0,0,0,0,10,18,0,0,2,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose,Fonte,DEF,WHU,5300000,0,58,3.2,6.0377358490566e-07,1.09433962264151e-05,0,212533,2,25,0,0,0,0,0,10.9,4740,-2,0,58,2,0.0,0,0.0,6,0,7,0,0,3.6,141705,0,487,0,0,1620,1191,0,0,334,Southampton,West Brom,Watford,Chelsea,Bournemouth,3.4,4.0,2.8,3.6,3.1,3.3,3.2,3.8,3.4,2.3,3.6,3.3,3.9,4.3,2.1
Adam,Forshaw,MID,MID,4500000,2,58,2.5,5.55555555555556e-07,1.28888888888889e-05,0,28067,3,23,0,0,0,0,0,12.9,2962,0,0,58,0,0.5,0,2.3,3,0,7,0,2,0.8,56120,0,0,0,0,1949,732,0,0,329,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,1.2,2.2,1.8,1.7,3.1,2.0,1.9,2.3,3.0,1.4,1.5,1.6,1.2,2.2,1.2
Fraser,Forster,GLK,SOU,5100000,2,74,3.2,6.274509803921571e-07,1.45098039215686e-05,0,168096,2,28,0,39,0,0,0,14.5,5346,1,0,74,-1,0.7,0,3.7,1,0,8,0,0,4.6,151832,0,233,0,0,2070,1506,0,0,348,West Ham,Sunderland,Watford,Man Utd,Tottenham,4.5,2.0,0.0,2.5,2.9,2.3,4.3,3.9,2.8,3.7,2.5,4.1,3.3,2.6,4.0
Ben,Foster,GLK,WBA,4700000,3,77,3.3,7.02127659574468e-07,1.63829787234043e-05,0,350504,1,29,0,84,0,0,0,16.4,8592,2,0,77,-2,0.9,0,4.0,4,0,4,0,0,15.3,613801,0,129,0,2,2070,9671,0,0,420,Stoke,West Ham,Bournemouth,Crystal Palace,Everton,4.1,3.8,4.4,3.9,2.7,4.4,2.3,2.8,4.7,4.6,2.9,3.6,2.1,3.8,3.1
Timothy,Fosu-Mensah,DEF,MUN,4100000,0,1,0.0144927536231884,3.5348179568752206e-09,2.4390243902438996e-07,0,8812,0,0,0,0,0,0,0,0.2,121,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.2,3461,0,40,0,0,1,61,0,0,2,Leicester,Watford,Bournemouth,Southampton,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon,Francis,DEF,BOU,4600000,1,55,2.6,5.65217391304348e-07,1.19565217391304e-05,0,140468,3,36,0,0,0,0,0,12.0,3004,1,0,55,-1,0.1,0,0.3,5,0,6,0,1,2.0,161734,0,462,0,1,1881,694,0,1,412,Everton,Man City,West Brom,Man Utd,West Ham,1.8,2.7,2.1,1.5,3.4,2.6,2.3,2.5,2.7,1.7,2.6,1.5,2.9,3.1,1.3
Ryan,Fraser,MID,BOU,4900000,2,55,0.7971014492753621,1.62673765158237e-07,1.12244897959184e-05,0,36422,0,12,0,0,0,3,0,11.2,9020,-1,0,55,1,0.6,0,2.7,5,0,3,0,4,1.9,116145,0,0,0,2,730,1911,0,0,176,Everton,Man City,West Brom,Man Utd,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4
George,Friend,DEF,MID,4400000,0,46,2.9,6.59090909090909e-07,1.04545454545455e-05,0,250537,1,17,0,0,0,0,0,10.5,11103,-1,0,46,1,0.5,0,2.3,5,0,3,0,2,2.7,146043,0,0,0,0,1260,121,0,0,269,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.0,3.1,3.2,2.9,3.0,2.2,2.7,2.8,3.5,3.6,2.8,2.9,2.4,3.9,3.2
Dael,Fry,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,64268,0,0,0,0,0,0,0,0.0,202,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.5,3974,0,0,0,0,0,63,0,0,0,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezekiel,Fryers,DEF,CRY,4500000,0,9,0.130434782608696,2.89855072463768e-08,2e-06,0,813,0,7,0,0,0,0,0,2.0,18,0,0,9,0,0.0,0,0.0,0,0,0,0,1,0.0,968,0,0,0,0,188,11,0,0,38,Sunderland,Stoke,Middlesbrough,West Brom,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Christian,Fuchs,DEF,LEI,5300000,2,55,2.5,4.71698113207547e-07,1.0377358490566001e-05,0,387007,6,36,0,0,0,1,0,10.4,3229,-2,0,55,2,0.2,0,1.0,4,0,4,0,2,4.7,127007,0,482,0,1,1888,133,0,0,395,Man Utd,Swansea,Liverpool,Hull City,Arsenal,2.0,1.8,3.3,3.0,2.4,2.3,2.9,2.6,1.5,2.2,2.9,1.8,2.6,1.7,3.1
Jay,Fulton,MID,SWA,4400000,0,17,0.246376811594203,5.59947299077734e-08,3.86363636363636e-06,0,1392,2,14,0,0,0,0,0,3.9,17,-1,0,17,1,0.1,0,0.3,0,0,3,0,0,0.0,924,0,4,0,0,624,4,0,0,81,Man City,Leicester,Chelsea,Burnley,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ramiro,Funes Mori,DEF,EVE,4700000,2,49,0.710144927536232,1.51094665433241e-07,1.0425531914893598e-05,0,87821,0,13,0,0,0,0,0,10.7,1761,-3,-1,49,3,1.1,0,5.3,3,0,5,0,0,2.5,85021,0,304,0,0,1103,18299,1,0,254,Bournemouth,Middlesbrough,Sunderland,Tottenham,West Brom,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Manolo,Gabbiadini,FWD,SOU,6500000,0,0,0.0,0.0,0.0,0,206,0,0,0,0,0,0,0,0.0,206,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,6094,0,0,0,0,0,6094,0,0,0,West Ham,Sunderland,Watford,Man Utd,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Gabriel,DEF,ARS,4800000,0,27,0.39130434782608703,8.15217391304348e-08,5.625e-06,0,24174,3,10,0,0,0,0,0,5.6,3142,-2,0,27,2,0.6,0,2.7,0,0,3,0,0,0.6,38689,0,244,0,0,912,437,0,0,182,Chelsea,Hull City,Liverpool,Leicester,West Brom,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Brendan,Galloway,DEF,WBA,4000000,0,9,0.130434782608696,3.26086956521739e-08,2.25e-06,0,17908,0,3,0,0,0,0,0,2.3,346,-5,0,9,5,0.0,0,0.0,0,0,1,0,0,0.2,15519,0,126,0,0,247,124,0,0,44,Stoke,West Ham,Bournemouth,Crystal Palace,Everton,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cristian,Gamboa,DEF,WBA,4000000,0,0,0.0,0.0,0.0,0,28016,0,0,0,0,0,0,0,0.0,178,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.5,1966,0,0,0,0,0,2,0,0,0,Stoke,West Ham,Bournemouth,Crystal Palace,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Garcia,MID,MCI,5000000,0,3,0.0434782608695652,8.69565217391304e-09,6e-07,0,450,0,1,0,0,0,0,0,0.6,22,0,0,3,0,0.0,0,0.0,0,0,0,0,0,0.0,456,0,0,0,0,29,29,0,0,11,Swansea,Bournemouth,Sunderland,Stoke,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Gardner,MID,WBA,5100000,0,14,1.6,3.13725490196078e-07,2.7450980392156897e-06,0,7250,1,6,0,0,0,0,0,2.7,33,-4,0,14,4,0.0,0,0.0,0,0,1,0,1,0.1,5062,0,244,0,0,218,1,0,0,52,Stoke,West Ham,Bournemouth,Crystal Palace,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
