FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Hiram,Boateng,MID,CRY,4500000,0,0,0.0,0.0,0.0,0,652,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,532,0,0,0,0,0,11,0,0,0,Middlesbrough,West Brom,Watford,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,30,3.3,6e-07,5.45454545454545e-06,0,108582,1,12,0,0,0,3,0,5.5,489,-5,0,30,5,0.0,1,0.0,4,0,0,0,0,0.7,46446,0,360,0,0,475,12,0,0,93,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannick,Bolasie,MID,EVE,5700000,0,45,0.6,1.0526315789473699e-07,7.89473684210526e-06,0,417937,3,14,0,0,0,1,0,7.9,792,-3,0,45,3,0.0,0,0.0,3,0,3,0,4,1.8,292643,0,469,0,0,1048,72,0,0,172,Sunderland,Tottenham,West Brom,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Wilfried,Bony,FWD,STK,6900000,0,29,0.3866666666666671,5.603864734299519e-08,4.20289855072464e-06,0,130258,1,12,0,0,0,2,0,4.2,264,-6,0,29,6,0.0,0,0.0,3,0,3,0,0,0.6,113161,0,249,0,1,684,120,0,0,92,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Fabio,Borini,FWD,SUN,5100000,1,23,2.1,4.1176470588235295e-07,4.50980392156863e-06,0,82354,2,17,0,0,0,1,0,4.5,1067,-4,0,23,4,0.2,0,1.0,1,0,3,0,0,0.6,25380,0,280,0,0,800,447,0,0,95,Everton,Man City,Burnley,Watford,Leicester,1.1,1.9,0.0,2.5,1.4,1.6,1.6,2.0,1.3,2.1,1.7,2.2,1.0
Cameron,Borthwick-Jackson,DEF,MUN,4400000,0,0,0.0,0.0,0.0,0,3021,0,0,0,0,0,0,0,0.0,9,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,110,0,123,0,0,0,3,0,0,0,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artur,Boruc,GLK,BOU,4500000,2,66,2.9,6.44444444444444e-07,1.4666666666666698e-05,0,229483,2,46,0,67,0,0,0,14.7,6275,0,1,66,0,0.2,0,1.0,2,0,5,0,0,5.7,238776,0,281,1,2,2070,784,-1,0,398,West Brom,Man Utd,West Ham,Swansea,Southampton,2.6,1.9,3.8,3.1,2.7,3.0,3.2,2.1,3.1,2.0,3.5,3.6,1.8
Sofiane,Boufal,MID,SOU,6700000,0,27,0.36,5.3731343283582104e-08,4.02985074626866e-06,0,12530,3,14,0,0,0,1,0,4.0,154,-3,0,27,3,0.1,0,1.0,1,0,3,0,0,0.1,12832,0,0,0,0,721,36,0,0,113,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jarrod,Bowen,FWD,HUL,4500000,0,5,0.0666666666666667,1.48148148148148e-08,1.11111111111111e-06,0,4847,0,1,0,0,0,0,0,1.1,102,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0.1,5531,0,0,0,0,65,104,0,0,15,Burnley,Leicester,Swansea,Everton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George,Boyd,MID,BUR,5100000,2,56,2.3,4.509803921568629e-07,1.09803921568627e-05,0,11345,2,30,0,0,0,1,0,11.0,280,-4,0,56,4,0.5,0,2.3,0,0,5,0,1,0.1,6501,0,0,0,0,1882,428,0,0,257,Hull City,Swansea,Liverpool,Sunderland,Tottenham,1.4,1.2,1.2,1.4,2.1,2.2,1.2,1.2,2.0,1.2,2.1,1.2,1.6
Robbie,Brady,MID,BUR,5500000,9,10,0.133333333333333,2.42424242424242e-08,1.81818181818182e-06,0,701,0,1,0,0,0,1,0,1.8,429,0,0,10,0,0.9,0,5.0,2,0,0,0,0,0.2,11065,0,0,0,0,100,8065,0,0,28,Hull City,Swansea,Liverpool,Sunderland,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cameron,Brannagan,MID,LIV,4200000,0,0,0.0,0.0,0.0,0,3336,0,0,0,0,0,0,0,0.0,120,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,2680,0,27,0,0,0,47,0,0,0,Leicester,Arsenal,Burnley,Man City,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio,Bravo,GLK,MCI,5000000,0,59,3.1,6.2e-07,1.18e-05,0,112262,0,25,0,31,0,0,0,11.8,2875,-5,1,59,5,0.0,0,0.0,3,0,4,0,0,1.4,120200,0,0,1,1,1710,250,-1,0,309,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.0,2.4,3.7,4.2,3.6,2.7,3.8,3.2,3.8,2.8,3.5,3.1,2.6
Miguel,Britos,DEF,WAT,4300000,1,43,2.1,4.88372093023256e-07,1e-05,0,33824,6,28,0,0,0,0,0,10.0,1172,-2,0,43,2,0.2,0,1.0,4,0,4,0,1,0.6,53459,0,205,0,1,1748,1276,0,1,282,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,2.5,2.3,0.0,1.9,1.8,2.3,1.2,1.9,1.5,2.6,1.0,1.2,1.8
Leon,Britton,MID,SWA,4400000,0,20,0.266666666666667,6.06060606060606e-08,4.54545454545455e-06,0,3849,2,22,0,0,0,0,0,4.5,64,-1,0,20,1,0.0,0,0.0,0,0,2,0,0,0.1,1791,0,166,0,0,802,4,0,0,133,Chelsea,Burnley,Hull City,Bournemouth,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Marcus,Browne,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,84,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,102,0,0,0,0,0,2,0,0,0,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyias,Browning,DEF,EVE,3900000,0,0,0.0,0.0,0.0,0,92848,0,0,0,0,0,0,0,0.0,6378,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,2.6,135211,0,22,0,0,0,323,0,0,0,Sunderland,Tottenham,West Brom,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,Bruce,DEF,HUL,4000000,0,0,0.0,0.0,0.0,0,6787,0,0,0,0,0,0,0,0.0,125,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,4571,0,0,0,0,0,34,0,0,0,Burnley,Leicester,Swansea,Everton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris,Brunt,DEF,WBA,5100000,0,73,0.9733333333333329,1.9084967320261398e-07,1.43137254901961e-05,0,55097,4,20,0,0,0,3,0,14.3,5173,1,0,73,-1,0.7,0,3.7,10,0,3,0,3,4.4,231341,0,230,0,2,1452,13443,0,0,308,Bournemouth,Crystal Palace,Everton,Arsenal,Man Utd,0.7,0.6,0.5,0.8,0.5,0.5,0.7,0.9,0.5,0.5,0.5,0.6,0.5
Reece,Burke,DEF,WHU,4000000,0,0,0.0,0.0,0.0,0,2615,0,0,0,0,0,0,0,0.0,24,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2445,0,0,0,0,0,10,0,0,0,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Butland,GLK,STK,4500000,0,0,0.0,0.0,0.0,0,145520,0,0,0,0,0,0,0,0.0,869,-5,1,0,5,0.0,0,0.0,0,0,0,0,0,0.9,3655,0,341,0,0,0,61,-1,0,0,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Byram,DEF,WHU,4200000,0,9,0.12,2.85714285714286e-08,2.1428571428571398e-06,0,31538,3,11,0,0,0,0,0,2.1,201,-3,0,9,3,0.0,0,0.0,0,0,1,0,0,0.3,13394,0,39,0,0,489,140,0,0,78,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Willy,Caballero,GLK,MCI,4700000,7,21,0.28,5.9574468085106395e-08,4.4680851063829805e-06,0,28101,0,4,0,8,0,0,0,4.5,664,-3,0,21,3,1.1,0,5.0,1,0,2,0,0,0.4,25601,0,45,0,0,540,1414,0,0,101,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Yohan,Cabaye,MID,CRY,5600000,1,46,0.613333333333333,1.0952380952381001e-07,8.214285714285711e-06,0,135348,5,35,0,0,0,2,0,8.2,843,-4,0,46,4,0.3,1,1.7,4,0,2,0,0,1.1,27436,0,397,0,1,1436,231,0,0,251,Middlesbrough,West Brom,Watford,Chelsea,Southampton,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Gary,Cahill,DEF,CHE,6500000,2,123,4.9,7.538461538461541e-07,1.8923076923076898e-05,0,209879,2,18,0,0,0,3,0,18.9,7996,5,0,123,-5,0.3,0,2.0,12,0,13,0,0,14.6,531902,1,283,0,2,2243,22044,0,0,532,Swansea,West Ham,Stoke,Crystal Palace,Man City,6.5,6.0,0.0,5.8,6.7,6.2,5.8,4.5,7.2,4.8,6.5,5.7,6.2
Jonathan,Calleri,FWD,WHU,6600000,1,13,0.17333333333333303,2.62626262626263e-08,1.96969696969697e-06,0,3056,0,3,0,0,0,1,0,2.0,59,-4,0,13,4,0.1,0,0.7,0,0,0,0,0,0.0,2930,0,0,0,0,205,138,0,0,30,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Callum Wilson,FWD,BOU,6100000,0,63,3.1,5.08196721311475e-07,1.0327868852459e-05,0,417074,0,25,0,0,0,6,0,10.3,5542,-4,0,63,4,0.0,0,0.3,2,0,6,0,1,1.4,354095,0,165,0,0,1361,120,0,0,170,West Brom,Man Utd,West Ham,Swansea,Southampton,0.0,0.0,0.0,0.0,0.0,2.7,2.8,2.1,3.3,3.0,3.5,4.2,2.9
Dominic,Calvert-Lewin,FWD,EVE,4500000,0,4,0.0533333333333333,1.18518518518519e-08,8.888888888888891e-07,0,1737,0,1,0,0,0,0,0,0.9,58,0,0,4,0,0.0,0,0.0,0,0,0,0,0,0.0,1941,0,0,0,0,58,28,0,0,5,Sunderland,Tottenham,West Brom,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geoff,Cameron,DEF,STK,4200000,0,20,0.266666666666667,6.34920634920635e-08,4.76190476190476e-06,0,23340,0,11,0,0,0,0,0,4.8,171,-3,0,20,3,0.0,0,0.0,2,0,2,0,0,0.2,14598,0,293,0,0,630,23,0,0,126,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fraizer,Campbell,FWD,CRY,4400000,0,12,0.16,3.63636363636364e-08,2.7272727272727298e-06,0,69520,0,3,0,0,0,1,0,2.7,2252,-1,0,12,1,0.0,0,0.0,0,0,0,0,0,1.1,80627,0,12,0,0,120,2810,0,0,47,Middlesbrough,West Brom,Watford,Chelsea,Southampton,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Joel,Campbell,MID,ARS,5900000,0,0,0.0,0.0,0.0,0,5031,0,0,0,0,0,0,0,0.0,17,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,447,0,175,0,0,0,9,0,0,0,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emre,Can,MID,LIV,4700000,1,55,0.733333333333333,1.56028368794326e-07,1.17021276595745e-05,0,164641,3,16,0,0,0,3,0,11.7,5112,-3,0,55,3,0.4,0,1.7,4,0,4,0,1,1.5,150407,0,399,0,0,1201,1122,0,0,237,Leicester,Arsenal,Burnley,Man City,Everton,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Etienne,Capoue,MID,WAT,4600000,2,96,3.8,8.260869565217391e-07,2.08695652173913e-05,0,1347497,3,41,0,0,0,5,0,20.9,35316,1,0,96,-1,0.6,0,2.7,14,0,4,0,2,27.6,2196757,0,347,0,3,2197,21788,0,0,400,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,3.2,4.1,0.0,3.4,5.2,4.0,2.1,4.1,3.9,3.1,3.5,2.9,3.3
Baily,Cargill,DEF,BOU,4000000,0,0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,0,0.0,25,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,258,0,0,0,0,0,109,0,0,0,West Brom,Man Utd,West Ham,Swansea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael,Carrick,MID,MUN,4300000,0,22,0.293333333333333,6.82170542635659e-08,5.11627906976744e-06,0,108138,0,6,0,0,0,0,0,5.1,8101,-2,0,22,2,0.1,0,0.3,0,0,3,0,0,1.6,117601,0,275,0,0,823,538,0,0,150,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andy,Carroll,FWD,WHU,6300000,0,47,3.9,6.19047619047619e-07,7.460317460317461e-06,0,442441,2,14,0,0,0,6,0,7.5,56122,-2,0,47,2,0.3,0,2.0,5,0,3,0,0,3.8,306484,0,381,0,1,799,8050,0,0,192,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.0,0.0,0.0,5.6,4.6,3.8,5.0,4.4,4.3,3.8,4.9,5.1,3.5
Tom,Carroll,MID,SWA,4200000,3,13,0.17333333333333303,4.12698412698413e-08,3.0952380952381e-06,0,17298,0,4,0,0,0,0,0,3.1,3395,-3,0,13,3,0.5,0,2.3,0,0,1,0,1,1.2,60001,0,93,0,0,345,9030,0,0,56,Chelsea,Burnley,Hull City,Bournemouth,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cameron,Carter-Vickers,DEF,TOT,4300000,0,0,0.0,0.0,0.0,0,1859,0,0,0,0,0,0,0,0.0,23,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,833,0,0,0,0,0,19,0,0,0,Stoke,Everton,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4300000,1,10,0.133333333333333,3.1007751937984505e-08,2.32558139534884e-06,0,18653,3,15,0,0,0,0,0,2.3,105,-2,0,10,2,0.3,0,1.3,0,0,0,0,0,0.2,4139,0,335,0,0,763,57,0,0,89,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lee,Cattermole,MID,SUN,4200000,0,3,0.04,9.52380952380952e-09,7.142857142857141e-07,0,6125,1,3,0,0,0,0,0,0.7,72,-3,0,3,3,0.0,0,0.0,0,0,0,0,0,0.1,2262,0,246,0,0,175,70,0,0,17,Everton,Man City,Burnley,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago,Cazorla,MID,ARS,7000000,0,38,0.506666666666667,7.238095238095241e-08,5.4285714285714306e-06,0,371905,2,5,0,0,0,2,0,5.4,501,-5,0,38,5,0.0,0,0.0,5,0,4,0,2,1.5,330029,0,259,0,0,618,36,0,0,159,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Petr,Cech,GLK,ARS,5400000,7,87,3.5,6.48148148148148e-07,1.6111111111111098e-05,0,451626,2,28,0,74,0,0,0,16.1,20076,-1,0,87,1,0.7,0,3.7,0,0,8,0,0,13.8,289867,1,409,0,0,2250,1789,0,0,444,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,4.1,0.0,3.6,3.8,4.8,4.2,3.3,3.7,3.0,3.1,3.7,3.9
,Cedric,DEF,SOU,4800000,7,64,3.6,7.5e-07,1.3333333333333301e-05,0,143161,1,20,0,0,0,0,0,13.3,6204,-2,0,64,2,0.6,0,3.0,11,0,6,0,1,1.7,159413,0,320,0,1,1457,3725,0,0,366,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.0,2.9,0.0,3.0,5.0,4.5,3.6,4.1,3.2,4.9,4.1,3.3,4.8
Nacer,Chadli,MID,WBA,6000000,6,83,1.10666666666667,1.84444444444444e-07,1.3833333333333301e-05,0,279324,1,17,0,0,0,5,0,13.8,1785,-5,0,83,5,0.7,0,4.3,8,0,5,0,4,1.7,316272,0,173,0,2,1289,16414,0,0,260,Bournemouth,Crystal Palace,Everton,Arsenal,Man Utd,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6
Nathaniel,Chalobah,MID,CHE,4500000,0,10,0.133333333333333,2.96296296296296e-08,2.22222222222222e-06,0,898,1,0,0,0,0,0,0,2.2,26,0,0,10,0,0.0,0,0.0,0,0,0,0,1,0.0,977,0,0,0,0,79,8,0,0,35,Swansea,West Ham,Stoke,Crystal Palace,Man City,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Chamberlain,MID,ARS,5800000,3,60,0.8,1.37931034482759e-07,1.03448275862069e-05,0,151827,0,13,0,0,0,2,0,10.3,1228,-2,0,60,2,0.5,0,2.7,2,0,3,0,4,1.2,117266,0,186,0,1,1054,736,0,0,285,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4
Calum,Chambers,DEF,MID,4400000,7,66,3.5,7.95454545454545e-07,1.4999999999999999e-05,0,214151,4,23,0,0,0,1,0,15.0,6395,-1,0,66,1,0.7,0,3.0,6,0,6,0,1,5.3,286466,0,70,0,0,1710,19945,0,0,398,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,0.0,3.7,0.0,3.1,3.5,3.5,4.5,4.7,3.8,3.8,3.2,4.6,4.1
James,Chester,DEF,WBA,4500000,0,0,0.0,0.0,0.0,0,4588,0,0,0,0,0,0,0,0.0,22,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,160,0,85,0,0,0,11,0,0,0,Bournemouth,Crystal Palace,Everton,Arsenal,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin,Chilwell,DEF,LEI,4300000,0,8,0.10666666666666699,2.4806201550387598e-08,1.86046511627907e-06,0,8268,1,5,0,0,0,0,0,1.9,196,-2,0,8,2,0.0,0,0.0,0,0,1,0,0,0.1,4072,0,0,0,0,315,65,0,0,55,Liverpool,Hull City,West Ham,Stoke,Sunderland,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pedro,Chirivella,MID,LIV,4200000,0,0,0.0,0.0,0.0,0,3304,0,0,0,0,0,0,0,0.0,100,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,2936,0,2,0,0,0,36,0,0,0,Leicester,Arsenal,Burnley,Man City,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Christian Benteke,FWD,CRY,7200000,2,82,3.6,5e-07,1.13888888888889e-05,0,818376,5,42,0,0,0,9,0,11.4,16096,-3,1,82,3,0.5,2,3.3,7,0,2,0,1,5.6,920339,0,315,0,1,1994,26090,-1,0,231,Middlesbrough,West Brom,Watford,Chelsea,Southampton,3.7,3.5,0.0,4.1,2.8,3.8,3.6,4.8,3.9,4.8,4.0,4.8,3.5
Josh,Clackstone,DEF,HUL,4000000,0,0,0.0,0.0,0.0,0,5263,0,0,0,0,0,0,0,0.0,197,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,6710,0,0,0,0,0,5,0,0,0,Burnley,Leicester,Swansea,Everton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordy,Clasie,MID,SOU,4600000,0,24,0.32,6.956521739130431e-08,5.21739130434783e-06,0,4328,3,13,0,0,0,0,0,5.2,67,-4,0,24,4,0.2,0,0.7,0,0,1,0,1,0.1,2346,0,183,0,0,844,21,0,0,113,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Adam,Clayton,MID,MID,4300000,2,44,2.0,4.65116279069767e-07,1.02325581395349e-05,0,48691,6,20,0,0,0,0,0,10.2,2693,-2,0,44,2,0.5,0,2.0,0,0,7,0,1,1.1,72409,0,0,0,0,1724,3303,0,0,272,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,1.3,1.1,0.0,1.4,1.2,1.5,2.2,1.0,1.0,1.1,1.0,1.5,1.0
Tom,Cleverley,MID,WAT,5100000,2,27,0.36,7.05882352941177e-08,5.2941176470588205e-06,0,9395,2,15,0,0,0,0,0,5.3,306,-4,0,27,4,0.5,0,2.7,0,0,0,0,2,0.2,4957,0,241,0,0,781,341,0,0,136,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Gael,Clichy,DEF,MCI,5200000,0,46,3.3,6.346153846153849e-07,8.84615384615385e-06,0,57289,0,16,0,0,0,1,0,8.8,2792,-3,0,46,3,0.2,0,1.0,5,0,3,0,0,1.1,29521,0,166,0,1,1174,231,0,0,274,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.0,2.7,4.0,4.6,3.9,3.0,4.1,3.5,4.2,3.1,3.8,3.4,2.8
Sam,Clucas,MID,HUL,4700000,-1,46,1.8,3.8297872340425503e-07,9.78723404255319e-06,0,4392,6,46,0,0,0,0,0,9.8,355,-3,0,46,3,0.3,0,1.3,0,0,3,0,1,0.1,2761,0,0,0,0,2139,48,0,1,307,Burnley,Leicester,Swansea,Everton,West Ham,0.0,1.0,1.3,0.9,0.9,1.4,0.9,0.9,1.7,0.9,1.9,1.0,1.3
Nathaniel,Clyne,DEF,LIV,5800000,6,82,3.4,5.862068965517239e-07,1.41379310344828e-05,0,473192,0,29,0,0,0,0,0,14.1,4979,3,0,82,-3,0.5,0,3.0,9,0,7,0,2,9.2,411899,0,387,0,1,2160,9737,0,0,472,Leicester,Arsenal,Burnley,Man City,Everton,2.2,4.7,4.5,3.0,3.9,4.6,3.3,3.2,4.2,2.7,4.6,3.9,4.0
Seamus,Coleman,DEF,EVE,5900000,7,108,4.9,8.30508474576271e-07,1.83050847457627e-05,0,237244,3,25,0,0,0,4,0,18.6,5845,4,-1,108,-4,0.9,0,5.3,12,0,7,0,3,15.3,734583,0,327,0,3,1956,75524,1,0,445,Sunderland,Tottenham,West Brom,Hull City,Liverpool,6.2,4.8,7.3,7.2,5.7,4.5,6.3,7.2,5.9,6.6,5.5,6.5,5.9
James,Collins,DEF,WHU,4200000,1,32,0.4266666666666671,1.01587301587302e-07,7.61904761904762e-06,0,354674,1,17,0,0,0,1,0,7.6,2711,-3,0,32,3,0.2,0,0.7,3,0,2,0,0,3.8,343955,0,217,0,1,845,1940,0,0,185,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Lewis,Cook,MID,BOU,4200000,0,2,0.0266666666666667,6.34920634920635e-09,4.76190476190476e-07,0,31281,0,3,0,0,0,0,0,0.5,929,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.7,22773,0,0,0,0,80,875,0,0,10,West Brom,Man Utd,West Ham,Swansea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve,Cook,DEF,BOU,4800000,1,71,2.8,5.83333333333333e-07,1.47916666666667e-05,0,117688,4,49,0,0,0,2,0,14.5,4946,-2,1,71,2,0.1,0,0.3,10,0,6,0,0,2.5,179516,1,443,0,1,2250,1953,-1,0,503,West Brom,Man Utd,West Ham,Swansea,Southampton,2.5,1.8,3.7,3.0,2.5,2.8,3.0,2.0,3.0,1.9,3.4,3.4,1.6
Francis,Coquelin,MID,ARS,4300000,3,42,2.0,4.65116279069767e-07,9.76744186046512e-06,0,157009,3,22,0,0,0,0,0,9.8,4600,-2,0,42,2,0.5,0,2.3,1,0,4,0,1,2.1,139582,0,246,0,0,1433,3489,0,0,253,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,1.0,0.0,1.0,1.1,1.0,1.3,1.3,2.0,1.0,1.3,1.1,1.5
Jack,Cork,MID,SWA,4600000,2,35,1.7,3.69565217391304e-07,7.608695652173911e-06,0,4293,5,38,0,0,0,0,0,7.6,53,-4,0,35,4,0.3,0,1.3,0,0,2,0,1,0.1,1597,2,376,0,0,1596,41,0,0,235,Chelsea,Burnley,Hull City,Bournemouth,Middlesbrough,0.8,1.7,1.2,0.8,1.2,1.0,0.8,1.1,1.1,0.9,1.1,1.2,1.1
